epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.8318,1.44496,2.26794,1.54024,0.43706,0.5977,0.41847,0.22346,1.62282,3.61302,1.81438,0.000407801,0.000407801,0.000407801
2,95.0396,1.47404,1.52556,1.5708,0.0948,0.19867,0.06059,0.02895,2.52763,inf,3.07308,0.000808144,0.000808144,0.000808144
3,137.335,1.49785,1.51061,1.5927,0.36152,0.22349,0.22852,0.12922,2.04682,4.81911,2.19751,0.00119199,0.00119199,0.00119199
4,177.424,1.57929,1.49173,1.64607,0.10284,0.31725,0.14605,0.07417,1.88325,5.64709,2.0965,0.00117575,0.00117575,0.00117575
5,218.573,1.50858,1.39431,1.58431,0.48853,0.35488,0.33216,0.17903,1.72315,8.36656,2.02512,0.001151,0.001151,0.001151
6,259.322,1.44843,1.26865,1.54564,0.76458,0.54737,0.62367,0.39092,1.28263,3.62576,1.52286,0.00112625,0.00112625,0.00112625
7,300.456,1.41714,1.16143,1.52972,0.54669,0.36996,0.37892,0.22184,1.41176,2.43367,1.60231,0.0011015,0.0011015,0.0011015
8,342.315,1.40038,1.14509,1.51003,0.63595,0.62702,0.63684,0.29684,1.81233,1.7378,1.99507,0.00107675,0.00107675,0.00107675
9,384.112,1.39092,1.13589,1.51311,0.71646,0.66446,0.72594,0.43027,1.40749,1.22846,1.61059,0.001052,0.001052,0.001052
10,424.632,1.35384,1.12042,1.49002,0.69454,0.58229,0.64426,0.38838,1.37561,1.67781,1.58584,0.00102725,0.00102725,0.00102725
11,464.436,1.3328,1.03595,1.4667,0.68279,0.6689,0.71451,0.42765,1.38239,1.52662,1.57207,0.0010025,0.0010025,0.0010025
12,505.299,1.33135,1.01636,1.45927,0.56945,0.59882,0.61163,0.35979,1.4585,1.65666,1.65887,0.00097775,0.00097775,0.00097775
13,547.399,1.2666,0.9453,1.40097,0.70065,0.71839,0.71566,0.44033,1.3191,0.99891,1.54522,0.000953,0.000953,0.000953
14,589.02,1.27762,0.92727,1.4222,0.70365,0.65257,0.70224,0.4449,1.36252,1.09793,1.57309,0.00092825,0.00092825,0.00092825
15,631.494,1.26254,0.89278,1.41547,0.7209,0.6626,0.69625,0.44151,1.29555,1.0332,1.52377,0.0009035,0.0009035,0.0009035
16,674.385,1.24349,0.88915,1.39641,0.67359,0.71592,0.73653,0.40938,1.4171,1.21693,1.60838,0.00087875,0.00087875,0.00087875
17,715.722,1.23701,0.87138,1.39072,0.73882,0.66881,0.7143,0.40545,1.53482,1.14963,1.70185,0.000854,0.000854,0.000854
18,758.38,1.20417,0.84305,1.37099,0.78969,0.77379,0.80253,0.50714,1.33879,1.04321,1.51138,0.00082925,0.00082925,0.00082925
19,797.564,1.18993,0.83413,1.3559,0.81555,0.77323,0.80425,0.51967,1.07521,0.89916,1.34485,0.0008045,0.0008045,0.0008045
20,838.021,1.18102,0.78935,1.37217,0.69771,0.5965,0.66373,0.42079,1.2629,1.10631,1.47937,0.00077975,0.00077975,0.00077975
21,878.648,1.1723,0.78883,1.33737,0.71872,0.72183,0.73823,0.46807,1.22825,0.87084,1.42678,0.000755,0.000755,0.000755
22,921.503,1.14238,0.76706,1.31595,0.75662,0.71881,0.74959,0.48183,1.19409,1.00084,1.44031,0.00073025,0.00073025,0.00073025
23,961.337,1.13234,0.73721,1.31351,0.81511,0.73249,0.79514,0.49867,1.22576,1.05283,1.47236,0.0007055,0.0007055,0.0007055
24,1002.41,1.15064,0.73822,1.3204,0.82989,0.67354,0.78919,0.52632,1.17907,0.94268,1.39772,0.00068075,0.00068075,0.00068075
25,1044,1.12681,0.73047,1.31753,0.79833,0.74156,0.80425,0.52175,1.25249,0.85371,1.4933,0.000656,0.000656,0.000656
26,1084.4,1.10856,0.69972,1.28859,0.73473,0.6823,0.71163,0.45247,1.26786,1.15934,1.50464,0.00063125,0.00063125,0.00063125
27,1124.46,1.06574,0.68471,1.269,0.73839,0.70936,0.75863,0.53624,1.0895,0.96836,1.34907,0.0006065,0.0006065,0.0006065
28,1165.63,1.06014,0.66809,1.26712,0.70812,0.76198,0.71823,0.49003,1.09825,1.03183,1.37268,0.00058175,0.00058175,0.00058175
29,1204.48,1.05044,0.65499,1.28358,0.81216,0.74472,0.80728,0.54157,1.17727,0.74977,1.43893,0.000557,0.000557,0.000557
30,1246.1,1.045,0.63803,1.25677,0.84885,0.71783,0.80431,0.54346,1.23185,0.87621,1.477,0.00053225,0.00053225,0.00053225
31,1286.38,1.00677,0.60704,1.24655,0.8256,0.69913,0.78942,0.54834,1.11216,0.80814,1.39245,0.0005075,0.0005075,0.0005075
32,1329.05,0.98938,0.58986,1.21614,0.82099,0.70591,0.77924,0.54119,1.12918,0.79944,1.38684,0.00048275,0.00048275,0.00048275
33,1370.32,1.01371,0.59465,1.23748,0.86934,0.68583,0.78884,0.51571,1.20573,0.85001,1.45787,0.000458,0.000458,0.000458
34,1412.06,1.00187,0.61193,1.22511,0.83021,0.78155,0.81819,0.56973,1.13471,0.71622,1.39509,0.00043325,0.00043325,0.00043325
35,1452.43,0.98247,0.5833,1.19869,0.8807,0.67618,0.75612,0.51455,1.19426,0.89047,1.41374,0.0004085,0.0004085,0.0004085
36,1494.1,0.95892,0.57011,1.19436,0.87655,0.82725,0.83405,0.56233,1.14456,0.68186,1.39295,0.00038375,0.00038375,0.00038375
37,1534.04,0.94436,0.55534,1.1988,0.88253,0.73108,0.80221,0.54584,1.17625,0.74436,1.43347,0.000359,0.000359,0.000359
38,1576.39,0.93847,0.54291,1.1859,0.8626,0.71189,0.77721,0.50073,1.35034,0.91433,1.52284,0.00033425,0.00033425,0.00033425
39,1618.5,0.91848,0.53021,1.15828,0.81896,0.74921,0.80176,0.52687,1.24295,0.80092,1.48217,0.0003095,0.0003095,0.0003095
40,1659.54,0.91616,0.52665,1.17784,0.86138,0.72473,0.8052,0.53707,1.29071,0.91988,1.51702,0.00028475,0.00028475,0.00028475
41,1701.34,0.8074,0.41782,1.1353,0.91348,0.75352,0.83935,0.58729,1.05308,0.74678,1.34068,0.00026,0.00026,0.00026
