epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.841,1.47293,2.09174,1.4074,0.66301,0.63462,0.64137,0.41584,1.02977,1.59639,1.12447,0.000407801,0.000407801,0.000407801
2,31.451,1.35696,1.31691,1.35255,0.64781,0.57892,0.64823,0.39533,1.2839,1.50506,1.34528,0.000808144,0.000808144,0.000808144
3,45.5123,1.36192,1.23988,1.36276,0.62832,0.4759,0.41527,0.22723,1.33422,2.50919,1.38092,0.00119199,0.00119199,0.00119199
4,59.567,1.37936,1.23917,1.399,0.65861,0.63635,0.70786,0.40897,1.32003,2.18449,1.37322,0.00117575,0.00117575,0.00117575
5,73.5973,1.37735,1.15668,1.38361,0.60953,0.56387,0.61663,0.36847,1.28019,1.83665,1.30174,0.001151,0.001151,0.001151
6,87.7304,1.34665,1.0992,1.34388,0.62891,0.59531,0.64815,0.38902,1.26193,1.26119,1.32121,0.00112625,0.00112625,0.00112625
7,101.739,1.28888,1.04485,1.29107,0.73606,0.71064,0.7655,0.48965,1.16743,1.0817,1.25983,0.0011015,0.0011015,0.0011015
8,115.799,1.26876,0.98586,1.29405,0.75261,0.66848,0.74761,0.46596,1.36258,1.00649,1.39077,0.00107675,0.00107675,0.00107675
9,129.827,1.28739,0.97531,1.30272,0.64301,0.59709,0.62805,0.4029,1.07593,1.28419,1.20041,0.001052,0.001052,0.001052
10,143.856,1.2356,0.89444,1.2806,0.82618,0.73168,0.8042,0.54506,1.15495,0.82881,1.25986,0.00102725,0.00102725,0.00102725
11,157.961,1.2121,0.83017,1.24175,0.81377,0.72229,0.77976,0.49608,1.08475,0.91606,1.18663,0.0010025,0.0010025,0.0010025
12,172.023,1.23614,0.86606,1.26992,0.81426,0.7275,0.81085,0.55534,1.08348,0.99357,1.20223,0.00097775,0.00097775,0.00097775
13,186.169,1.15704,0.85775,1.23125,0.73541,0.77751,0.76242,0.50155,1.20055,0.90871,1.32248,0.000953,0.000953,0.000953
14,200.527,1.14856,0.77419,1.23498,0.80204,0.82452,0.84579,0.55881,1.14493,0.82539,1.23805,0.00092825,0.00092825,0.00092825
15,214.59,1.16215,0.77631,1.22961,0.7711,0.77273,0.79813,0.51565,1.27771,0.82718,1.34876,0.0009035,0.0009035,0.0009035
16,228.532,1.12994,0.75802,1.21759,0.70628,0.68551,0.72671,0.46423,1.21543,0.87415,1.29059,0.00087875,0.00087875,0.00087875
17,242.538,1.12751,0.73515,1.21934,0.71841,0.66724,0.76859,0.50008,1.08592,1.18954,1.20501,0.000854,0.000854,0.000854
