epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8302,1.46771,2.31681,1.42229,0.64148,0.63687,0.63003,0.41725,1.3194,1.61756,1.31786,0.000407801,0.000407801,0.000407801
2,28.1934,1.32165,1.34127,1.34525,0.64811,0.46601,0.55773,0.35405,1.39506,1.7761,1.52315,0.000808144,0.000808144,0.000808144
3,40.6597,1.33015,1.17567,1.3692,0.44303,0.39744,0.32468,0.17502,1.88227,2.13905,1.92543,0.00119199,0.00119199,0.00119199
4,52.9974,1.34225,1.13446,1.39316,0.48587,0.53829,0.47458,0.27589,1.80039,2.43377,1.8465,0.00117575,0.00117575,0.00117575
5,65.3964,1.3344,1.06071,1.3747,0.73418,0.75274,0.77687,0.49709,1.39922,1.1065,1.44872,0.001151,0.001151,0.001151
6,78.646,1.29307,0.98083,1.33861,0.6654,0.66089,0.69539,0.43376,1.40504,1.4632,1.44259,0.00112625,0.00112625,0.00112625
7,90.8764,1.24202,0.99566,1.29487,0.76651,0.71882,0.77115,0.51845,1.31885,1.09121,1.36948,0.0011015,0.0011015,0.0011015
8,103.723,1.22643,0.9133,1.30352,0.80677,0.77045,0.80193,0.5185,1.38855,1.02128,1.47051,0.00107675,0.00107675,0.00107675
9,116.586,1.22778,0.88395,1.30281,0.65988,0.68109,0.73329,0.47222,1.47876,1.31206,1.49299,0.001052,0.001052,0.001052
10,129.035,1.1749,0.82805,1.27165,0.70553,0.7524,0.75477,0.49612,1.5078,1.14857,1.56428,0.00102725,0.00102725,0.00102725
11,141.727,1.14373,0.76125,1.23382,0.83239,0.78096,0.8285,0.5247,1.45419,1.04008,1.51164,0.0010025,0.0010025,0.0010025
12,154.396,1.15462,0.76817,1.2474,0.62002,0.67457,0.66507,0.41435,1.4609,1.22929,1.44303,0.00097775,0.00097775,0.00097775
13,166.621,1.11111,0.75599,1.2316,0.69722,0.68379,0.73995,0.49291,1.33173,1.17104,1.42871,0.000953,0.000953,0.000953
14,179.206,1.0764,0.7144,1.22183,0.77308,0.78955,0.80746,0.519,1.39494,1.01262,1.4848,0.00092825,0.00092825,0.00092825
15,191.607,1.08157,0.70805,1.21932,0.75532,0.76563,0.78093,0.50484,1.48038,0.97061,1.51661,0.0009035,0.0009035,0.0009035
16,203.96,1.06157,0.68816,1.19491,0.8619,0.69123,0.80367,0.49823,1.46881,0.99509,1.56846,0.00087875,0.00087875,0.00087875
17,216.249,1.05548,0.67041,1.20405,0.8468,0.74438,0.81318,0.54585,1.31413,0.88551,1.39883,0.000854,0.000854,0.000854
18,228.984,1.02011,0.64182,1.17036,0.7422,0.78778,0.79948,0.54975,1.2559,0.91968,1.36306,0.00082925,0.00082925,0.00082925
19,241.767,1.0084,0.6278,1.17186,0.88305,0.71917,0.79935,0.52822,1.36819,0.79618,1.44261,0.0008045,0.0008045,0.0008045
20,254.206,1.03921,0.64065,1.17846,0.79452,0.7772,0.80598,0.55633,1.24818,0.86618,1.3636,0.00077975,0.00077975,0.00077975
21,267.058,0.97854,0.59819,1.15141,0.85676,0.77353,0.83245,0.55841,1.43027,0.84983,1.57245,0.000755,0.000755,0.000755
22,279.95,0.97042,0.59241,1.14976,0.79623,0.7943,0.8009,0.54028,1.35722,0.83861,1.44287,0.00073025,0.00073025,0.00073025
23,292.2,0.94318,0.58512,1.13537,0.78971,0.77901,0.78948,0.50235,1.35414,0.93148,1.44049,0.0007055,0.0007055,0.0007055
24,304.593,0.91957,0.56148,1.10784,0.80286,0.80306,0.84559,0.58522,1.22454,0.79468,1.31327,0.00068075,0.00068075,0.00068075
25,317.456,0.92231,0.56403,1.11416,0.79418,0.76221,0.78604,0.51046,1.45487,0.92587,1.49853,0.000656,0.000656,0.000656
26,329.807,0.91363,0.53862,1.1158,0.89625,0.78973,0.85186,0.58167,1.30023,0.85017,1.35445,0.00063125,0.00063125,0.00063125
27,342.107,0.88606,0.53676,1.09747,0.89861,0.80675,0.8634,0.5953,1.31006,0.73343,1.39734,0.0006065,0.0006065,0.0006065
28,355.023,0.88148,0.5299,1.08944,0.86427,0.72028,0.80661,0.56194,1.36925,0.88172,1.44387,0.00058175,0.00058175,0.00058175
29,367.61,0.85271,0.51249,1.07704,0.86704,0.80802,0.83747,0.58302,1.32649,0.79589,1.45334,0.000557,0.000557,0.000557
30,379.957,0.851,0.50362,1.07673,0.91676,0.79685,0.8543,0.56327,1.4009,0.81259,1.47177,0.00053225,0.00053225,0.00053225
31,392.297,0.85889,0.49377,1.08279,0.89809,0.79504,0.83738,0.578,1.3044,0.78457,1.39353,0.0005075,0.0005075,0.0005075
32,404.89,0.80027,0.45902,1.04635,0.88151,0.77893,0.84016,0.58818,1.24786,0.6879,1.38311,0.00048275,0.00048275,0.00048275
33,417.227,0.7957,0.46812,1.05848,0.8302,0.84368,0.84151,0.57533,1.2829,0.75471,1.40727,0.000458,0.000458,0.000458
34,430.005,0.79573,0.45675,1.04859,0.86497,0.77873,0.81631,0.55154,1.37069,0.83014,1.49046,0.00043325,0.00043325,0.00043325
35,442.297,0.80422,0.45568,1.05386,0.86408,0.79926,0.84137,0.58458,1.28736,0.74125,1.4383,0.0004085,0.0004085,0.0004085
36,454.78,0.76607,0.45,1.04281,0.86845,0.79217,0.8549,0.58987,1.27289,0.73717,1.41564,0.00038375,0.00038375,0.00038375
37,467.267,0.75329,0.44396,1.02779,0.84994,0.76473,0.81535,0.57858,1.28198,0.79837,1.44279,0.000359,0.000359,0.000359
38,479.627,0.76106,0.44218,1.03725,0.87193,0.8064,0.84611,0.57299,1.32649,0.75797,1.47316,0.00033425,0.00033425,0.00033425
